taskID,participantID,isEarlyTrial,ballFixOnRelReach,ballFixOffRelReach,ballFixOnRelGrasp,ballFixOffRelGrasp,slotFixOnRelTrasnport,slotFixOffRelTransport,slotFixOnRelSlotEntry,SlotFixOffRelSlotEntry
1,1,0,-545,662.5,-1162.5,22.5,-145,855,-500,560
1,1,1,-530,745,-1210,25,-195,1015,-630,580
1,2,0,292.5,532.5,-275,-35,-345,1255,-715,860
1,2,1,NaN,NaN,NaN,NaN,-855,1250,-1265,815
1,3,0,-187.5,202.5,-665,-320,-310,915,-605,595
1,3,1,-35,410,-565,-120,-295,930,-570,660
1,4,0,-200,400,-635,-70,-140,560,-385,295
1,4,1,70,450,-460,-45,-165,505,-440,220
1,5,0,45,505,-530,-60,-230,660,-590,350
1,5,1,60,640,-580,10,-170,840,-580,470
1,6,0,55,530,-530,-25,-110,1075,-425,750
1,6,1,-25,525,-635,-10,-145,1170,-515,760
1,7,0,-307.5,607.5,-967.5,-42.5,-347.5,252.5,-617.5,-67.5
1,7,1,-355,520,-885,-45,-410,272.5,-682.5,7.5
1,8,0,-430,545,-880,-5,-205,590,-540,320
1,8,1,-415,610,-1090,-30,-205,740,-550,395
1,9,0,-370,515,-985,-95,-225,745,-550,405
1,9,1,-355,525,-900,-85,-230,905,-515,580
1,10,0,40,455,-475,-75,-145,735,-405,465
1,10,1,150,507.5,-407.5,-50,-435,980,-620,780
1,11,0,-332.5,482.5,-937.5,-135,-225,1330,-560,870
1,11,1,-55,775,-950,-65,-380,1565,-725,1200
2,1,0,-437.5,705,-1400,-177.5,195,1090,-415,490
2,1,1,-445,1625,-1330,565,210,1390,-580,620
2,2,0,235,805,-375,155,-55,980,-555,500
2,2,1,222.5,1377.5,-415,520,57.5,1242.5,-600,555
2,3,0,-280,785,-730,240,0,1080,-425,620
2,3,1,25,990,-930,165,10,1005,-435,540
2,4,0,80,735,-530,125,-112.5,937.5,-477.5,582.5
2,4,1,10,715,-620,100,-140,925,-515,535
2,5,0,-415,1252.5,-1162.5,425,85,927.5,-455,372.5
2,5,1,-380,1205,-1155,385,30,1005,-565,445
2,6,0,-345,1085,-930,272.5,15,1227.5,-385,785
2,6,1,-330,1225,-960,590,50,1420,-430,940
2,7,0,-312.5,1197.5,-1067.5,317.5,45,927.5,-470,382.5
2,7,1,-245,1217.5,-1157.5,257.5,62.5,965,-467.5,410
2,8,0,-500,945,-1260,200,-20,885,-425,405
2,8,1,-410,1085,-1220,295,-15,990,-485,430
2,9,0,-445,1212.5,-1292.5,330,5,1045,-557.5,470
2,9,1,-427.5,1260,-1287.5,307.5,20,1150,-670,520
2,10,0,45,855,-575,295,-25,1155,-410,760
2,10,1,27.5,975,-637.5,205,-35,1015,-470,600
2,11,0,-310,820,-870,175,-50,1195,-540,625
2,11,1,-350,1025,-1050,305,-35,1270,-620,720
3,1,0,115,412.5,-442.5,-155,-227.5,220,-492.5,-95
3,1,1,95,525,-630,-150,-260,355,-587.5,-62.5
3,2,0,NaN,NaN,NaN,NaN,-220,255,-595,-65
3,2,1,282.5,420,-485,-347.5,-235,380,-590,-45
3,3,0,NaN,NaN,NaN,NaN,-70,185,-395,-15
3,3,1,240,427.5,-265,-77.5,-7.5,225,-332.5,-102.5
3,4,0,NaN,NaN,NaN,NaN,-25,90,-255,-140
3,4,1,NaN,NaN,NaN,NaN,25,175,-250,-110
3,5,0,NaN,NaN,NaN,NaN,85,265,-390,-210
3,5,1,525,662.5,-392.5,-185,-145,220,-455,-177.5
3,6,0,175,330,-290,-100,70,260,-330,-145
3,6,1,190,345,-355,-200,-50,190,-465,-105
3,7,0,335,445,-180,-70,25,190,-385,-220
3,7,1,240,530,-492.5,-202.5,105,250,-375,-185
3,8,0,NaN,NaN,NaN,NaN,610,780,-365,-195
3,8,1,105,295,-380,-190,-65,115,-410,-275
3,9,0,470,615,-280,-135,170,410,-295,-70
3,9,1,275,485,-315,-130,95,292.5,-327.5,-190
3,10,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,10,1,NaN,NaN,NaN,NaN,580,795,-630,-415
3,11,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,11,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,1,0,235,885,-555,-40,250,770,-395,140
4,1,1,200,780,-490,160,40,710,-510,-5
4,2,0,537.5,1202.5,-370,192.5,-5,752.5,-465,167.5
4,2,1,432.5,852.5,-302.5,72.5,50,715,-515,70
4,3,0,270,700,-350,-60,495,715,-325,-35
4,3,1,345,682.5,-422.5,-52.5,205,597.5,-342.5,-22.5
4,4,0,275,712.5,-450,10,17.5,410,-355,27.5
4,4,1,360,945,-337.5,270,177.5,615,-437.5,55
4,5,0,445,830,-447.5,72.5,340,625,-502.5,-5
4,5,1,325,720,-425,-130,227.5,762.5,-407.5,152.5
4,6,0,365,935,-465,110,5,530,-340,125
4,6,1,485,775,-172.5,115,230,670,-340,205
4,7,0,727.5,932.5,-592.5,-362.5,315,495,-380,-80
4,7,1,690,800,-365,-165,355,590,-380,-85
4,8,0,342.5,890,-357.5,120,410,755,-435,-127.5
4,8,1,587.5,820,-407.5,-150,310,610,-410,-175
4,9,0,655,1150,-420,-40,170,775,-525,75
4,9,1,815,1320,-455,0,485,810,-480,80
4,10,0,605,1045,-490,20,750,935,-385,130
4,10,1,785,1137.5,-412.5,-117.5,535,875,-435,-55
4,11,0,332.5,1060,-380,312.5,160,635,-330,230
4,11,1,425,945,-255,265,150,625,-410,65
